Medial_prenatal,Medial_postnatal,Lateral_prenatal,Lateral_postnatal
NUDT11,AQP4,DSCAML1,CNTN2
LY6H,IQCA1,ADCY1,ATP2B3
APLNR,ZCCHC12,,NIPA1
FAM181A,SLC7A11,,RASGRF1
PKIA,GABRG3,,LHFPL3
FSD1L,PANX2,,RGS7BP
CNR1,HTR2C,,ATP2B2
GLRA2,PLCXD3,,GRM1
TRH,NGB,,ADARB2
CCNA1,GDA,,SLC24A2
DLX1,GABRG1,,PLLP
DYDC2,BHLHB9,,ANO4
LPAR4,RTBDN,,PRRT3
FZD3,SPAG6,,SNPH
SLIT1,ITM2C,,GLDN
REEP1,SLC1A3,,ADAM23
GNG4,ENKUR,,CKMT1A
GDPD2,SYT17,,GRAMD1B
GLTPD2,ALK,,LYPD5
OCA2,SYT4,,RNF208
SCN3A,,,OLIG2
EFNB3,,,GNG13
MGAT4C,,,SCN8A
,,,SYT3
,,,PPM1H
,,,TRPC3
,,,ADORA1
,,,TMEM151A
,,,NEFM
,,,SEC14L5
,,,HSPA12A
,,,SNCB
,,,CPLX1
,,,AATK
,,,SCN1B
,,,KRT222
,,,NEU4
,,,ZDHHC22
,,,OSBP2
,,,SPTSSB
,,,ZNF365
,,,PPFIA4
,,,RNF157
,,,PLEKHH1
,,,YPEL4
,,,CD99L2
,,,FNDC5
,,,KCNA2
,,,HHIP
,,,ELMO1
,,,OPALIN
,,,GABBR2
,,,PAK1
,,,AMZ1
,,,CHRNA2
,,,NAT8L
,,,ZMAT4
,,,EHD3
,,,GRID1
,,,ADAM11
,,,KCNA1
,,,NDRG3
,,,TMEM38A
,,,PEX5L
,,,KNDC1
,,,LRTM2
,,,PVALB
,,,CNDP1
,,,CKMT1B
